address_deltas,pc_deltas
1253504,140737354137744
64,48
171032,-45
-167512,3597
64,32
167416,-24
-167352,88
155496,-65
-155432,129
153568,-122
2272,17
-155776,169
158336,-159
-16,7
-158256,216
158432,-117
-80,0
-3016,8
-154632,829
64,48
64,96
64,32
158024,-13
-3520,-992
3080,-8
-3016,8
64,0
3088,-8
96,0
-3120,8
-155528,173
64,64
64,64
-1257592,-38
1257656,102
158304,-88
-158240,152
64,96
64,32
64,64
64,64
-6144,-32
6208,96
153224,-66
-159368,-14
64,-10
159360,24
-159296,-30
159424,30
-159360,-14
159472,14
48,0
-159456,-24
159512,24
64,0
-159512,-30
159568,30
56,0
-159560,-14
159616,14
-159552,-24
159664,24
56,0
-159656,-30
159712,30
56,0
-159704,-14
159760,14
48,0
-159744,-24
159808,24
-159744,-30
159856,30
-159792,-14
159840,14
64,0
-159840,-24
159896,24
-162100,91
128572,38
33976,101
-160272,-180
-2348,41
-72,0
552,0
4,5
1920,130
-2572,-135
360,0
2276,-41
-2132,41
162388,139
3268,-552
8020,7
-126232,40589
64,48
-48312,-32
48376,96
118044,-94
-117980,158
118080,-40711
-58496,100327
64,32
66360,-26
-66296,90
52736,-65
-52672,129
66440,-102
-7152,-7
-59224,173
52736,-121
240,21
-52912,164
66047,-136
-65983,200
52592,-124
-29596,54
-22932,134
64,72
64,56
22736,-262
-22608,438
64,16
64,64
22440,-518
-22376,582
65792,-24
-65728,88
65792,-56
-65728,120
65792,-688
-66176,304
66240,8
-64960,1323
64,13
-9280,-9264
64,48
73528,-46
-73464,110
64,64
73304,-107
-73112,309
64,54
12480,12480
64,64
64,64
53680,-108
-58352,-4564
192,232
64,24
64,64
-2048,-2016
64,32
64,69
64,59
64,64
192,228
64,28
1280,1280
51904,-78
-51840,142
-6976,-6960
64,48
64,64
64,64
24512,24560
64,16
64,64
47897,-42
-47833,106
-13312,-13312
64,64
-104832,-104800
64,32
64,64
157952,-60
6752,14
-164640,110
157792,-98
-157728,162
164640,-108
-136,53
-63000,101607
64,16
64,64
-100800,-100744
64,8
64,64
150400,-58
-150336,122
832,875
64,21
64,64
37248,37264
64,48
125176,-39
-125112,103
125032,-68
-40265,78426
-84703,-78294
-45696,-45696
64,64
108224,108256
64,32
64,64
-108480,-108448
108032,108048
64,16
192,208
-128,-144
64,120
-62400,-62456
118808,-105
672,20
-39928,79637
64,64
64,64
40512,-76
-120128,-79540
120104,-107
-120040,171
119428,-141
-780,-4
-118392,401
64,64
119292,-64
-116,16
-128,-377
-119304,169
119712,-128
32,0
64,0
64,0
-119808,192
256,312
64,8
64,64
-320,-320
-37760,-37760
37120,37120
-44864,-44864
161940,-32
-161876,96
64,64
7680,7680
64,64
-1261440,-35
1261504,99
2304,2304
64,64
-192,-164
64,36
-1263672,-33
1417128,19
-153264,206
-1263808,-48
1263872,112
-1263792,-80
1263856,144
-1263784,-2659
56,0
1261232,163
-1261176,-163
1263736,2723
-1263680,-2723
1261184,227
156936,-76
-156872,140
64,64
107072,107104
64,32
-117423,-6
117487,70
64,64
13576,-31
-13512,95
2624,2640
64,48
64,64
2112,2133
64,43
-112192,-112192
-190160,-47
190224,111
64,64
-190272,-76
346000,-8
-345936,8
346040,-8
16,0
-345992,8
192576,2522
64,50
153176,-2580
-345752,8
64,0
64,0
345888,-8
-345824,8
345912,-8
-345848,8
189888,140
64,64
